description,priority,parity
"Automated tests don't validate API response pagination link header accuracy. Incorrect next/prev links cause client navigation failures and infinite loops. We need to add link header testing, implement URL generation validation, and test boundary condition accuracy.",medium,
"Test suite lacks validation for distributed cache key expiration accuracy. TTL drift causes premature eviction or stale data retention. We need to add expiration accuracy testing, implement TTL validation, and test clock synchronization impact.",medium,
"Performance testing doesn't validate TCP FIN_WAIT_2 timeout behavior. Lingering connections consume resources under high connection churn. We need to add FIN_WAIT testing, implement timeout validation, and measure connection lifecycle overhead.",medium,
"Test framework doesn't enforce test data schema version compatibility. Mismatched schemas cause deserialization failures and false test breaks. We need to implement schema version validation, add compatibility checks, and enforce migration-aware test data loading.",medium,
"G1GC is triggering frequent mixed pauses exceeding 800ms during end-of-day batch processing. JFR shows humongous allocations from large CSV parsing bypassing the young generation. We need to tune -XX:G1HeapRegionSize, enable -XX:+UseStringDeduplication, and refactor the parser to use buffered streaming instead of loading full files into memory.",high,
"Metaspace is growing linearly and hitting java.lang.OutOfMemoryError: Metaspace after 14 days of uptime. Heap dumps reveal dynamic proxy generation from a third-party SDK that creates new classes per request. We need to implement a proxy cache, set -XX:MaxMetaspaceSize, and request a fix from the vendor to reuse generated classes.",high,
"Direct memory exhaustion is causing OutOfMemoryError: Direct buffer memory in the Netty-based gateway. The maxDirectMemory limit is set to default, but TLS offloading and gRPC streaming are consuming off-heap buffers faster than the cleaner thread can reclaim them. We need to increase -XX:MaxDirectMemorySize, enable -Dio.netty.maxDirectMemory, and audit buffer release calls in custom handlers.",high,
"Safepoint pauses are spiking to 2.5s during peak trading hours. VM operations logs show Cleanup and Deoptimize taking excessive time due to high thread count and aggressive JIT compilation. We need to reduce -XX:CompileThreshold, enable -XX:+UseCountedLoopSafepoints, and cap the compiler thread pool to minimize stop-the-world events.",high,
"ZGC is failing to keep up with allocation rate during market open, causing allocation stalls and latency spikes. The heap is sized at 16GB but promotion rate exceeds concurrent marking throughput. We need to increase heap to 24GB, tune -XX:ZAllocationSpikeTolerance, and profile allocation hotspots to reduce short-lived object churn.",high,
"ThreadLocal memory leak is causing gradual heap growth in the payment routing service. Context objects are not being removed in finally blocks after request completion, retaining references to large transaction payloads. We need to enforce ThreadLocal.remove() in filters, add a leak detection interceptor, and migrate to scoped request attributes where possible.",high,
"JIT deoptimization storms are occurring after deploying a new pricing algorithm. The C2 compiler repeatedly compiles and deoptimizes a hot loop due to unstable branch profiling, causing CPU thrashing. We need to stabilize the code path, add -XX:CompileCommand=exclude for the problematic method temporarily, and refactor conditional logic to be more predictable.",medium,
"String deduplication is disabled by default in our JDK 17 build, causing duplicate JSON payloads to consume 30% of old gen. Enabling -XX:+UseStringDeduplication reduced heap usage by 18% in staging. We need to roll this flag to production, monitor G1GC remark pauses, and validate no regression in string-heavy workloads.",medium,
"Finalizer queue is backing up because a legacy JDBC driver relies on Object.finalize() for connection cleanup. The finalizer thread is saturated, delaying garbage collection and causing OOM. We need to replace the driver with a modern version, explicitly close resources in try-with-resources, and disable finalization with -XX:-Finalize after migration.",high,
"Classloader leak is preventing hot reloads in the development environment. A static cache in a utility class holds references to dynamically loaded classes, causing PermGen/Metaspace exhaustion after 5 redeployments. We need to clear static caches on context shutdown, use weak references for class metadata, and add a classloader leak detector to the test suite.",medium,
"G1GC concurrent marking is failing to complete before the heap fills, triggering full GC pauses of 12+ seconds. The initiating heap occupancy percent is too high for our allocation pattern. We need to lower -XX:InitiatingHeapOccupancyPercent to 35, increase concurrent GC threads, and reduce large object allocation rate in the reporting service.",high,
"Native memory tracking shows 4GB unaccounted for in the Other category. Async-profiler indicates glibc malloc fragmentation from native libraries used by the PDF generation module. We need to switch to jemalloc via LD_PRELOAD, enable -XX:NativeMemoryTracking=detail, and audit native buffer allocations in the rendering pipeline.",medium,
"JVM is failing to release memory back to the OS after traffic drops, causing container OOM kills despite low heap usage. G1GC doesn't uncommit memory aggressively enough. We need to enable -XX:+UseDynamicNumberOfGCThreads, set -XX:MinHeapFreeRatio, and configure container-aware JVM flags to respect cgroup limits.",medium,
"Allocation profiling reveals 60% of young gen allocations come from java.time.format.DateTimeFormatter creating temporary objects per request. We need to cache formatters statically, switch to Instant where possible, and use ThreadLocal for non-thread-safe formatters to reduce GC pressure.",low,
"Shenandoah GC is causing application threads to stall during concurrent root scanning. The pause times are acceptable but throughput dropped by 25% due to read barriers. We need to evaluate if Shenandoah fits our latency profile, tune -XX:ShenandoahGCHeuristics, or revert to G1GC with optimized region sizing.",medium,
"JVM crash logs show SIGSEGV in libjvm.so during JIT compilation of a recursive tree traversal method. The compiler stack overflows due to deep inlining. We need to add -XX:MaxInlineLevel=15, refactor the recursion to iteration, and exclude the method from aggressive compilation until patched.",high,
"Heap dump analysis shows ConcurrentHashMap nodes retaining 2GB of stale cache entries. The cache lacks eviction policy and TTL, causing unbounded growth. We need to switch to Caffeine with size-based eviction, implement background cleanup, and add cache metrics to the monitoring dashboard.",high,
"JFR event streaming is causing 8% CPU overhead in production due to high-frequency allocation profiling. We need to disable jdk.ObjectAllocationInNewTLAB in continuous profiling, reduce sampling rate, and switch to async-profiler for on-demand allocation analysis instead of always-on JFR.",medium,
"G1GC is spending 40% of time in remark phase due to high reference processing overhead. Weak references from a third-party metrics library are delaying collection. We need to upgrade the library, tune -XX:G1RSetUpdatingPauseTimePercent, and audit reference-heavy data structures.",medium,
"JVM is failing to start in the CI environment with Could not reserve enough space for object heap. The runner cgroup memory limit is 2GB but JVM requests 3GB due to hardcoded -Xmx. We need to enable -XX:+UseContainerSupport, remove explicit heap flags, and let the JVM auto-size based on container limits.",medium,
"Direct ByteBuffer allocation is failing under load because the cleaner thread is blocked on a slow filesystem sync. This causes OutOfMemoryError: Direct buffer memory despite available heap. We need to decouple buffer allocation from disk I/O, use pooled buffers, and increase cleaner thread priority.",high,
"JVM thread stack size is too small for deep recursive JSON parsing, causing StackOverflowError on complex payloads. Default -Xss1m is insufficient. We need to increase to -Xss2m, refactor the parser to use iterative approaches, and add payload depth validation at the gateway.",medium,
"G1GC evacuation failures are occurring during traffic spikes, falling back to serial full GC. The heap is fragmented and survivor spaces are undersized. We need to increase -XX:G1ReservePercent, tune -XX:MaxGCPauseMillis, and reduce allocation burst rate in the event ingestion service.",high,
"JVM is leaking file descriptors because ZipFile instances from JAR scanning aren't closed during dynamic plugin loading. We hit Too many open files after 3 days. We need to wrap plugin loaders in try-with-resources, implement a plugin cache, and add FD usage alerts to the health endpoint.",high,
"JIT compiler is generating suboptimal code for a hot financial calculation due to monomorphic call site invalidation. Interface dispatch is preventing inlining. We need to seal the implementation hierarchy, use @ForceInline judiciously, and profile with JMH to validate throughput gains.",low,
"JVM is failing to honor -XX:MaxRAMPercentage=75 in Kubernetes, allocating beyond container limits and getting OOMKilled. The base image uses an older JDK without cgroup v2 support. We need to upgrade to JDK 17.0.9+, verify UseContainerSupport is active, and test memory boundaries in staging.",high,
"G1GC mixed pauses are dominated by code cache flushing. The code cache is full, causing frequent sweeps that stall application threads. We need to increase -XX:ReservedCodeCacheSize, enable -XX:+UseCodeCacheFlushing, and audit dynamic proxy generation that bloats the cache.",medium,
"JVM is experiencing long GC pauses due to large ThreadLocal maps retaining request context across async boundaries. Virtual threads inherit these maps, causing memory retention. We need to clear context before async handoff, use ScopedValue where available, and audit thread pool configurations.",high,
"Heap utilization shows 90% old gen occupancy with low promotion rate, indicating memory leak in long-lived caches. MAT analysis points to SoftReference cache that never releases under memory pressure. We need to switch to weak references with explicit eviction, implement size bounds, and add cache health metrics.",high,
"JVM startup time exceeds 45 seconds due to extensive classpath scanning and annotation processing. We need to enable CDS (Class Data Sharing), switch to explicit component scanning packages, and precompute reflection metadata to meet the 15-second cold start SLA.",medium,
"Concurrent modification exception is thrown in ArrayList during parallel stream processing because the collection isn't thread-safe. We need to switch to CopyOnWriteArrayList or collect to a concurrent structure, and add thread-safety linting to the CI pipeline.",high,
"Thread pool exhaustion in ForkJoinPool.commonPool() is causing async tasks to queue indefinitely. CPU-intensive tasks are blocking I/O-bound workloads. We need to create dedicated executors per workload type, configure queue bounds, and implement backpressure propagation.",high,
"Deadlock detected between ReentrantLock in the cache manager and synchronized block in the metrics collector. Thread dumps show circular wait during high contention. We need to enforce lock ordering, replace intrinsic locks with ReentrantLock with timeout, and add deadlock detection to the health check.",high,
"CompletableFuture chain is leaking threads because exceptions aren't handled with exceptionally(), causing worker threads to hang on uncaught errors. We need to add global exception handlers, implement timeout wrappers, and audit all async chains for proper error propagation.",high,
"Virtual threads are pinning to carrier threads during blocking JDBC calls, defeating the scalability benefits of Project Loom. We need to wrap blocking calls with Thread.startVirtualThread(), switch to async drivers where possible, and monitor pinned thread metrics via JFR.",medium,
"Race condition in double-checked locking for lazy initialization is causing partially constructed objects to be published. The field lacks volatile modifier. We need to add volatile, switch to AtomicReference, or use initialization-on-demand holder pattern to guarantee safe publication.",high,
"ThreadLocal context is lost when tasks are submitted to ThreadPoolExecutor, causing MDC logging and security context to drop. We need to implement TaskDecorator to propagate context, wrap executors with context-aware delegates, and validate context continuity in integration tests.",medium,
"CountDownLatch is causing thread starvation because a failed task never calls countDown(), blocking the main thread indefinitely. We need to wrap latch operations in try-finally, implement timeout-based await, and add circuit breakers for dependent task chains.",high,
"ConcurrentHashMap computeIfAbsent is causing thread contention and CPU spikes due to blocking lambda execution. The lambda performs remote calls, holding segment locks. We need to precompute values, use putIfAbsent with explicit locking, or switch to async cache loading with Caffeine.",high,
"ScheduledExecutorService is leaking threads because scheduled tasks throw unhandled exceptions, causing the executor to silently stop scheduling. We need to wrap runnables with exception catchers, implement a monitoring hook, and add alerting for executor health.",medium,
"Thread pool queue is unbounded, causing OOM when downstream service degrades and tasks accumulate. We need to switch to ArrayBlockingQueue with capacity limits, implement caller-runs rejection policy, and add queue depth metrics to the dashboard.",high,
"StampedLock optimistic read is failing validation too frequently under write-heavy load, causing fallback to write lock and throughput collapse. We need to switch to ReadWriteLock, reduce write contention via partitioning, and validate lock strategy with JMH benchmarks.",medium,
"Async context propagation is breaking across Kafka consumer threads because the tracing library doesn't instrument the poll loop. Spans are disconnected, breaking distributed traces. We need to enable Kafka client instrumentation, manually inject context in listeners, and validate trace continuity.",medium,
"Thread interruption is ignored in a long-running CSV export loop, causing graceful shutdown to hang for 60 seconds. We need to check Thread.interrupted() in the loop, close resources on interrupt, and implement cooperative cancellation in batch processors.",medium,
"Phaser is causing thread starvation because parties aren't deregistered after task completion, causing subsequent phases to wait indefinitely. We need to call arriveAndDeregister(), implement timeout-based phase advancement, and add phaser state monitoring.",low,
"Exchanger is blocking threads because paired tasks complete at different rates, causing one side to wait indefinitely. We need to switch to SynchronousQueue with timeout, implement buffer-based handoff, and validate producer-consumer balance.",low,
"Thread factory is creating non-daemon threads, preventing JVM shutdown when the main thread exits. We need to configure setDaemon(true), implement a shutdown hook to interrupt workers, and audit thread creation across the codebase.",medium,
"Lock contention on AtomicLong sequence generator is causing CPU cache line bouncing under high concurrency. We need to switch to LongAdder, implement striped counters, or use database sequences for distributed ordering.",medium,
"CompletableFuture.allOf() is masking individual task failures because exceptions aren't unwrapped, causing silent data corruption. We need to implement join() with exception handling, aggregate errors explicitly, and add failure reporting to the async pipeline.",high,
"Thread pool core size is too low for I/O-bound workload, causing unnecessary queuing and latency spikes. We need to size pools based on N_threads = N_cpu * U_cpu * (1 + W/C), implement dynamic sizing, and validate with load testing.",medium,
"RecursiveTask in ForkJoinPool is causing stack overflow because the split threshold is too small, creating excessive subtasks. We need to increase threshold, switch to iterative decomposition, and monitor fork-join queue depth.",medium,
"ThreadLocalRandom is being seeded incorrectly in a custom thread pool, causing predictable random values in security-sensitive token generation. We need to use SecureRandom for crypto, validate seeding strategy, and add entropy monitoring.",high,
"BlockingQueue poll() with timeout is causing busy-waiting because the timeout is set to 1ms, spinning the CPU. We need to increase timeout to 100ms, switch to take() with interrupt handling, and profile CPU usage in consumer loops.",low,
"Thread context classloader is mismatched in OSGi-like plugin environment, causing ClassNotFoundException during dynamic service loading. We need to set TCCL explicitly before reflection calls, implement a classloader hierarchy, and validate plugin isolation.",medium,
"CyclicBarrier is causing deadlock because one thread throws an exception before reaching the barrier, leaving others waiting forever. We need to implement barrier timeout, handle BrokenBarrierException, and add fallback coordination logic.",medium,
"Thread pool rejection handler is logging and dropping tasks, causing silent data loss during traffic spikes. We need to implement persistent queue fallback, add backpressure to upstream, and alert on rejection rate thresholds.",high,
"Virtual thread scheduler is starving platform threads because too many blocking calls pin carriers, degrading overall throughput. We need to audit blocking APIs, wrap them with runVirtualThread, and monitor carrier thread utilization via JFR.",high,
"Thread dump analysis shows 200 threads blocked on sun.misc.Unsafe.park() waiting for a single monitor held by a slow database call. We need to implement connection timeout, add circuit breaker, and reduce lock scope around I/O operations.",high,
"CompletableFuture.thenCombine() is executing on the wrong executor, causing thread pool cross-contamination and priority inversion. We need to explicitly pass executors to async stages, isolate critical path pools, and validate execution context in tests.",medium,
"Thread starvation in Tomcat connector is causing 503 errors because keep-alive connections aren't timing out, holding threads idle. We need to reduce connectionTimeout, implement max keep-alive requests, and monitor thread pool utilization.",high,
"AtomicReference update loop is causing livelock under high contention because CAS failures retry immediately without backoff. We need to implement exponential backoff, switch to LongAdder for counters, or use striped locks.",medium,
"Thread group is preventing garbage collection of terminated threads because references are retained in the group's internal array. We need to avoid custom thread groups, use executor services, and monitor thread lifecycle metrics.",low,
"Spring Bean creation is failing with BeanCurrentlyInCreationException due to circular dependency between PaymentService and AuditLogger. Constructor injection enforces strict ordering. We need to refactor to event-driven audit logging, use @Lazy on one dependency, or extract a shared interface.",high,
"Spring Boot auto-configuration is loading unwanted starters because spring.factories isn't filtered correctly, increasing startup time and memory footprint. We need to use @SpringBootApplication(exclude=...), implement conditional imports, and audit transitive starter dependencies.",medium,
"Property binding is failing silently for nested configuration objects because fields lack setters or @ConstructorBinding. Default values are used instead of env vars. We need to enable spring.config.import, use records with constructor binding, and add configuration validation tests.",medium,
"Spring AOP proxy is bypassing @Transactional because the method is called internally within the same class, avoiding the proxy. We need to refactor to separate beans, use AopContext.currentProxy(), or enable AspectJ compile-time weaving.",high,
"Actuator health endpoint is returning UP despite database connection pool exhaustion because the health indicator lacks connection validation. We need to implement custom HealthIndicator, add pool metrics to the response, and configure liveness/readiness probes correctly.",high,
"Spring Cloud Gateway is dropping requests under load because the Netty event loop threads are blocked by synchronous filter logic. We need to refactor filters to reactive chains, offload blocking calls to bounded elastic scheduler, and monitor event loop utilization.",high,
"@ConfigurationProperties isn't reloading when Config Server updates because @RefreshScope is missing on the bean. Services use stale configuration until restart. We need to add @RefreshScope, implement config change listeners, and validate refresh behavior in integration tests.",medium,
"Spring Boot devtools is causing classloader leaks in containerized environments because restart triggers aren't disabled. We need to set spring.devtools.restart.enabled=false in Docker, exclude devtools from production builds, and audit profile-specific dependencies.",low,
"Feign client is failing with RetryableException because the error decoder doesn't distinguish between retryable and non-retryable HTTP status codes. We need to implement custom ErrorDecoder, configure retry policies per endpoint, and add circuit breaker integration.",medium,
"Spring Security filter chain is executing twice because @EnableWebSecurity is declared in multiple configuration classes, causing duplicate authentication attempts. We need to consolidate security config, use SecurityFilterChain beans, and validate filter ordering.",high,
"@Async methods are running on the main thread because @EnableAsync is missing from the configuration class. Tasks execute synchronously, blocking request threads. We need to add the annotation, configure a dedicated executor, and add async execution validation tests.",high,
"Spring Boot fat JAR is failing to start because nested JARs contain conflicting META-INF/services files, breaking SPI loading. We need to use spring-boot-maven-plugin with proper transformers, implement service file merging, and validate classpath at build time.",medium,
"RestTemplate is leaking connections because CloseableHttpClient isn't configured with connection eviction policy. We need to switch to WebClient, implement HttpClientConnectionManager with idle timeout, and add connection pool metrics.",high,
"Spring Data Redis is throwing SerializationException because the default JDK serializer is used instead of JSON. Cache entries are unreadable after service restart. We need to configure RedisTemplate with Jackson2JsonRedisSerializer, implement versioned payloads, and add serialization tests.",medium,
"@Scheduled tasks are running concurrently because fixedDelay isn't waiting for previous execution to complete, causing duplicate processing. We need to add @EnableScheduling with single-thread executor, implement distributed locks, or switch to fixedRate with overlap prevention.",high,
"Spring Boot graceful shutdown is timing out because active requests aren't completing within the 30s window. We need to increase server.shutdown.grace-period, implement request draining, and add shutdown hooks to cancel long-running tasks.",medium,
"Component scanning is picking up test classes in production because @SpringBootTest configuration leaks into main source set. We need to enforce package separation, exclude test packages from scanning, and validate classpath boundaries in CI.",medium,
"Spring Cloud Stream binder is creating duplicate consumer groups because group property isn't set, causing message fan-out instead of competing consumers. We need to configure explicit consumer groups, validate partition assignment, and add consumer lag monitoring.",high,
"@Transactional propagation is causing unexpected rollbacks because nested transactions use REQUIRED instead of REQUIRES_NEW, rolling back independent operations. We need to adjust propagation levels, implement savepoints, and add transaction boundary tests.",high,
"Spring Boot Actuator metrics are missing because Micrometer registry isn't configured for Prometheus. The /actuator/prometheus endpoint returns 404. We need to add micrometer-registry-prometheus, enable the endpoint, and validate scrape configuration.",medium,
"@Value annotation is failing to resolve placeholders because property sources are loaded in wrong order. Environment variables are overridden by application.yml. We need to adjust spring.config.import order, use @ConfigurationProperties instead, and add property resolution tests.",medium,
"Spring WebFlux is blocking event loop because block() is called on Mono/Flux in reactive pipeline. This defeats non-blocking architecture and causes thread starvation. We need to refactor to fully reactive chains, use subscribeOn(boundedElastic()) for unavoidable blocking, and add BlockHound to CI.",high,
"@Cacheable isn't working because Spring Cache proxy isn't applied to public methods only, or cache manager isn't configured. We need to verify proxy mode, configure CacheManager bean, and add cache hit/miss metrics to validate behavior.",medium,
"Spring Boot banner is slowing down startup in serverless environment because it reads classpath resources unnecessarily. We need to disable banner with spring.main.banner-mode=off, minimize startup logging, and optimize cold start path.",low,
"@RestControllerAdvice isn't catching exceptions from async controllers because DeferredResult or CompletableFuture exceptions bypass the advice. We need to implement AsyncUncaughtExceptionHandler, wrap async returns, and add global async error handling.",medium,
"Spring Data JPA repository is generating inefficient queries because method name parsing creates cartesian joins. We need to use @Query with explicit joins, enable SQL logging, and add query plan validation to the test suite.",high,
"@Profile annotation isn't filtering beans correctly because active profiles are set after context initialization. We need to set profiles via spring.profiles.active early, use @ConditionalOnProperty, and validate profile activation in startup logs.",medium,
"Spring Cloud Config client is failing to decrypt properties because JCE unlimited strength policy isn't installed in the base image. We need to upgrade to JDK with built-in unlimited crypto, configure decryption keys properly, and add crypto validation tests.",high,
"@EventListener is processing events synchronously, blocking the publisher thread and causing latency spikes. We need to add @Async to listeners, implement event bus with dedicated executor, and validate async event processing.",medium,
"Spring Boot admin client is failing to register because management port differs from application port and firewall blocks it. We need to align ports, configure management.server.port, and validate network accessibility in deployment pipeline.",low,
"@Validated isn't triggering constraint validation because method-level validation isn't enabled. We need to add MethodValidationPostProcessor, use @Valid on parameters, and add validation integration tests.",medium,
"Spring Cloud Gateway route predicates are matching incorrectly because path patterns overlap and order isn't specified. Requests route to wrong microservices. We need to set explicit route order, use specific predicates, and add route validation tests.",high,
"@Import is loading configuration classes multiple times because of transitive imports, causing bean definition overrides. We need to consolidate imports, use @ConditionalOnMissingBean, and enable spring.main.allow-bean-definition-overriding=false to catch conflicts.",medium,
"Spring Boot startup is failing with PortAlreadyInUseException because previous instance didn't shut down cleanly in Kubernetes. We need to implement preStop hook, add port conflict detection, and configure liveness probe to kill stuck pods.",medium,
"@TransactionalEventListener isn't firing because the transaction commits before the event is published, or phase is misconfigured. We need to set phase=AFTER_COMMIT, validate transaction boundaries, and add event delivery tests.",medium,
"Spring Data MongoDB is throwing MappingException because entity classes lack no-arg constructor or use final fields. We need to add protected constructors, remove final modifiers, or switch to Kotlin data classes with plugin support.",medium,
"@Configuration class is being proxied with CGLIB but contains final methods, causing IllegalArgumentException. We need to remove final modifiers, switch to interface-based proxies, or use @Configuration(proxyBeanMethods=false).",medium,
"Spring Cloud Sleuth is adding excessive overhead because trace sampling rate is 100% in production. We need to reduce to 10%, implement adaptive sampling, and validate tracing performance impact under load.",medium,
"@DependsOn isn't guaranteeing initialization order because bean lifecycle is complex and circular references exist. We need to refactor to explicit initialization, use SmartLifecycle, and add startup sequence validation.",low,
"Spring Boot is failing to parse YAML because of tab characters or invalid indentation. The parser throws ScannerException. We need to enforce spaces-only YAML, add linting to CI, and validate configuration files before deployment.",low,
"@Retryable isn't working because Spring AOP proxy isn't applied or retry interceptor isn't configured. We need to add @EnableRetry, configure retry policies, and add retry metrics to monitor effectiveness.",medium,
"Spring Data Elasticsearch is failing because client version mismatches cluster version, causing protocol incompatibility. We need to align versions, use REST client instead of transport, and add compatibility validation to CI.",high,
"@Primary annotation is causing unexpected bean injection because multiple candidates exist and priority isn't clear. We need to use @Qualifier, refactor to explicit wiring, and add dependency injection validation tests.",low,
"Spring Boot is loading logback.xml from wrong location because classpath ordering changed after dependency update. Logging configuration is ignored. We need to specify logging.config explicitly, validate config loading, and add logging integration tests.",medium,
"@Scheduled cron expression is invalid because of timezone mismatch or syntax error, causing tasks to never execute. We need to validate cron syntax, set explicit timezone, and add scheduler health monitoring.",medium,
"Spring Cloud Kubernetes isn't detecting config map changes because RBAC permissions are missing for watch operations. We need to grant watch permission, enable spring.cloud.kubernetes.reload.enabled, and validate config sync.",medium,
"@Bean method is returning null because factory logic fails silently, causing NullPointerException on injection. We need to add null checks, throw explicit exceptions on failure, and add bean creation validation tests.",high,
"Spring Boot is failing to start because spring.factories contains invalid class references after shading. We need to configure maven-shade-plugin transformers properly, validate service files, and add classpath integrity checks.",medium,
"@Async executor isn't configured, causing tasks to run on SimpleAsyncTaskExecutor which creates new thread per task, leading to thread exhaustion. We need to define ThreadPoolTaskExecutor bean, configure bounds, and monitor thread creation rate.",high,
"Spring Data JPA is fetching lazy collections outside transaction, causing LazyInitializationException. We need to use JOIN FETCH, enable OpenEntityManagerInView (with caution), or implement DTO projections to avoid lazy loading.",high,
"@ConditionalOnProperty isn't evaluating correctly because property name uses camelCase instead of kebab-case. Spring Boot normalizes properties differently. We need to use kebab-case in conditions, validate property binding, and add conditional bean tests.",low,
"Spring Boot is exposing sensitive actuator endpoints because security isn't configured for management port. We need to secure actuator with Spring Security, restrict access via network policies, and audit endpoint exposure.",high,
"@CacheEvict isn't removing entries because key expression doesn't match cache put key. Cache becomes stale. We need to align key expressions, use allEntries=true where appropriate, and add cache consistency tests.",medium,
"Spring Cloud Gateway is failing TLS handshake because client certificate isn't trusted by the gateway's truststore. We need to import CA cert, configure ssl.trust-store, and validate mTLS chain in staging.",high,
"@Transactional timeout isn't enforced because database driver doesn't support query timeout or transaction manager isn't configured. We need to set defaultTimeout, configure driver timeout, and add transaction duration monitoring.",medium,
"Spring Boot is failing to bind List<String> from environment variables because syntax isn't comma-separated or indexed. We need to use SPRING_LIST_0=value format, validate binding, and add configuration parsing tests.",low,
"@EnableScheduling is creating multiple scheduler instances because configuration is imported multiple times. Tasks run duplicated. We need to consolidate scheduling config, use @ConditionalOnMissingBean, and validate scheduler singleton.",medium,
"Spring Data Redis pipeline is failing because connection isn't returned to pool after execution, causing exhaustion. We need to use RedisCallback with proper resource management, implement try-with-resources, and monitor connection lifecycle.",high,
"@RestController is returning XML instead of JSON because Jackson isn't on classpath or content negotiation prefers XML. We need to add jackson-databind, configure HttpMessageConverters, and validate content type in tests.",medium,
"Spring Cloud Config is failing to decrypt because cipher algorithm mismatch between client and server. We need to align encrypt.key configuration, validate crypto provider, and add decryption integration tests.",high,
"@Valid isn't cascading validation to nested objects because @Valid is missing on nested field. Invalid data persists. We need to add @Valid annotations, enable recursive validation, and add nested validation tests.",medium,
"Spring Boot is failing to start because server.port is overridden by random port in tests, causing port conflicts in CI. We need to isolate test ports, use @DynamicPort, and validate port allocation strategy.",low,
"@EventListener is receiving duplicate events because multiple application contexts are publishing to same bus. We need to isolate event buses per context, use application-specific event types, and validate event routing.",medium,
"Spring Data JPA batch inserts are falling back to single inserts because rewriteBatchedStatements isn't enabled in JDBC URL. Performance degrades 10x. We need to add JDBC parameter, validate batch execution, and monitor insert throughput.",high,
"@ConfigurationProperties validation isn't failing on invalid values because @Validated is missing on the class. Invalid config loads silently. We need to add annotation, implement constraint validators, and add config validation tests.",medium,
"Spring Cloud Gateway is dropping WebSocket connections because upgrade headers aren't forwarded correctly. We need to configure WebSocketRoutingFilter, validate header propagation, and add WebSocket integration tests.",high,
"@Transactional is causing connection leak because exception is caught and swallowed, preventing rollback. We need to rethrow exceptions, configure rollback rules, and add transaction monitoring.",high,
"Spring Boot is failing to resolve @Value from Kubernetes secrets because property source isn't mounted correctly. We need to configure volume mounts, validate secret injection, and add secret resolution tests.",medium,
"@Cacheable is caching null values because unless=''#result == null' isn't specified, causing cache pollution. We need to add condition, implement null object pattern, and validate cache content.",medium,
"Spring Data MongoDB aggregation pipeline is failing because $lookup stage exceeds memory limit. We need to add allowDiskUse=true, optimize pipeline stages, and monitor aggregation memory usage.",high,
@Async methods aren't propagating security context because SecurityContextHolder strategy is MODE_THREADLOCAL. We need to switch to MODE_INHERITABLETHREADLOCAL or use DelegatingSecurityContextAsyncTaskExecutor.,high,
"Spring Boot is failing to start because spring.main.web-application-type is misconfigured, causing servlet context initialization failure. We need to set correct type, validate auto-configuration, and add startup validation tests.",medium,
"@Scheduled tasks are overlapping because execution time exceeds interval, causing concurrent runs. We need to implement @SchedulerLock, switch to fixedDelay, and add execution duration monitoring.",high,
"Spring Cloud Stream is failing to deserialize messages because content-type header is missing or mismatched. We need to configure spring.cloud.stream.bindings.*.content-type, validate message headers, and add deserialization tests.",medium,
"@Transactional propagation NESTED isn't supported by JPA transaction manager, causing TransactionException. We need to switch to REQUIRES_NEW, use JDBC transaction manager, or implement savepoints manually.",medium,
"Spring Boot is failing to load application.yml because file encoding isn't UTF-8, causing parser errors. We need to enforce UTF-8 encoding, add file validation to CI, and document configuration standards.",low,
"@CachePut is executing even when method throws exception because condition isn't checking result status. We need to add condition=''#result != null', implement error-aware caching, and validate cache behavior on failure.",medium,
"Spring Data Elasticsearch is failing because index mapping isn't created automatically and @Document annotations are ignored. We need to enable createIndex=true, validate mapping sync, and add index initialization tests.",medium,
"@EnableWebMvc is disabling Spring Boot auto-configuration, causing missing message converters and static resource handling. We need to remove annotation, use WebMvcConfigurer instead, and validate MVC configuration.",high,
"Spring Cloud Config is failing to refresh because /actuator/refresh isn't exposed or secured. We need to enable endpoint, configure security, and validate refresh workflow in CI/CD.",medium,
"@Transactional is causing deadlock because multiple transactions acquire locks in different order. We need to enforce consistent lock ordering, reduce transaction scope, and add deadlock detection monitoring.",high,
"Spring Boot is failing to start because logback-spring.xml references undefined property, causing initialization failure. We need to define properties, add fallback configuration, and validate logging setup.",medium,
"@Async executor is rejecting tasks because queue is full and rejection policy isn't configured, causing RejectedExecutionException. We need to increase queue capacity, implement caller-runs policy, and add rejection metrics.",high,
"Spring Data JPA is generating SELECT N+1 queries because @OneToMany isn't configured with FetchType.LAZY or entity graphs aren't used. We need to optimize fetch strategy, enable SQL logging, and add query count assertions in tests.",high,
"@Configuration class is being instantiated multiple times because it's not marked as @Configuration or proxying is disabled. Bean definitions are duplicated. We need to add annotation, enable proxy bean methods, and validate singleton scope.",medium,
"Spring Cloud Gateway is failing to route because URI scheme isn't lb:// for load-balanced services. We need to configure service discovery, validate URI format, and add route resolution tests.",medium,
"@Validated group validation isn't working because groups aren't specified in @Validated annotation. Constraints are ignored. We need to specify groups, implement group sequences, and add group validation tests.",medium,
"Spring Boot is failing to bind Map<String, Object> from YAML because nested structure isn't compatible with target type. We need to use @ConfigurationProperties with proper generics, validate binding, and add map parsing tests.",low,
"@EventListener is blocking publisher thread because listener executes long-running I/O synchronously. We need to add @Async, implement event queue, and validate async listener execution.",medium,
"Spring Data Redis is failing because serializer isn't configured for key type, causing ClassCastException. We need to configure RedisSerializer<String> for keys, validate serialization, and add type safety tests.",medium,
